id,name,height,date_of_birth,known_for_movies
nm0618715,Jalil Naciri,,,
nm0618741,Tatsuo Nadaka,200,1951-02-09,
nm0618796,Diane Nadeau,,,
nm0618797,Elyane Nadeau,,1945-05-21,
nm0618885,Mojgan Naderi,,,
nm0618918,Nadira,,1932-12-05,
nm0619016,Leif Naeslund,,,
nm0619037,Maria Nafpliotou,,1969,
nm0619117,Hiroshi Nagano,,,
nm0619178,Masami Nagasawa,200,1987-06-03,
nm0619185,Masatoshi Nagase,200,1966-07-15,
nm0619242,Kôzô Nagayama,,,
nm0619305,Nagendra Babu,,October 29,
nm0619453,Ervin Nagy,200,1976-09-25,
nm0619475,Ivan Nagy,,1938-01-23,
nm0619496,Mari Nagy,,1961-05-09,
nm0619507,Phyllis Nagy,,,
nm0619594,David Nahmod,200,1956-01-29,
nm0619777,Shashilal K. Nair,,,
nm0619802,Laurence Naismith,200,1908-12-14,
nm0619836,Babak Najafi,,1975-09-14,
nm0619946,Yuji Nakae,,1960,
nm0620064,Takehiro Nakajima,,1935-11-12,
nm0620066,Tomoko Nakajima,200,1971-06-05,
nm0620067,Tôru Nakajima,,,
nm0620127,Eiko Nakamura,,,
nm0620185,Masa Nakamura,,,
nm0620284,Taeko Nakanishi,,1931-02-11,
nm0620333,Ryûsei Nakao,200,1951-02-05,
nm0620363,Tetsuya Nakashima,,1959-09-02,
nm0620609,Yin Nam,,,
nm0620634,Shôzô Nanbu,,1898-06-26,
nm0620636,Govind Namdeo,,1954-09-03,
nm0620847,Marco Nanini,200,1948-05-31,
nm0620878,Erika Nann,200,1962-10-20,
nm0620919,Agnese Nano,,1965-11-05,
nm0621002,Alan Napier,200,1903-01-07,
nm0621066,Napolean,,,
nm0621235,Tomoko Naraoka,,1929-12-01,
nm0621244,Meera Simhan,,,
nm0621450,Darling Narita,,,
nm0621694,Chris Nash,,1961-04-12,
nm0621760,Kevin Nash,200,1959-07-09,
nm0621992,Frankie Nasso,200,1984-08-07,
nm0622020,Doru Nastase,,1933-02-02,
nm0622052,Hiroyuki Nasu,,1952-01-27,
nm0622121,Camillo Eugene Natale,200,1959-08-07,
nm0622141,Monique Natan,,,
nm0622193,Prem Nath,,1926-11-21,
nm0622204,Adam Nathan,,,
nm0622544,David Naughton,200,1951-02-13,
nm0622769,Élodie Navarre,200,1979-01-21,
nm0622826,Antonio Navarro,,,
nm0623021,Silvia Navarro,200,1978-09-14,
nm0623319,Harsh Nayyar,,,
nm0623321,Sadhana,,1941-09-02,
nm0623373,Dmitriy Nazarov,200,1957-07-04,
nm0623391,Margarita Nazarova,,1926-11-26,
nm0623443,Amedeo Nazzari,200,1907-12-10,
nm0623455,Necla Nazir,,,
nm0623854,Mehdi Nebbou,200,1971-01-10,
nm0623971,Milos Nedbal,,1906-05-28,
nm0624391,Bouzid Negnoug,,,
nm0624446,Fernanda Negri Pouget,,1889-03-28,
nm0624623,David Neidorf,,1962-11-24,
nm0624694,Richard Neil,,,
nm0624809,James Neilson,,1909-10-01,
nm0624872,Dan Neira,,1961-11-24,
nm0625033,Krista Nell,,1946,
nm0625099,Nelly,200,1974-11-02,
nm0625206,Burt Nelson,200,1932-06-19,
nm0625379,Gary Nelson,,1934-01-01,
nm0625610,Rebecca Nelson,,,
nm0626008,Alec Nemser,,,
nm0626090,Jack Neo,,,
nm0626314,Jimmy Nervo,,1897-01-02,
nm0626352,Derren Nesbitt,200,1935-06-19,
nm0626409,Avi Nesher,,1953-12-13,
nm0626879,Eugen Neufeld,,1882-12-06,
nm0626954,Holger Neuhäuser,,1965,
nm0627238,Bobby Neutz,,,
nm0627245,Thierry Neuvic,200,1970-08-03,
nm0627492,Brooke Nevin,200,1982-12-22,
nm0627537,Craig J. Nevius,,,
nm0627549,Anzhelika Nevolina,,1962-04-02,
nm0627893,Charlotte Newhouse,,,
nm0627900,Edward Newhouse,,1911-11-10,
nm0628036,Charles Newman,,1901-02-22,
nm0628647,Richard Ney,200,1916-11-12,
nm0628714,Lawrence Ng,200,,
nm0628757,Francis Ng,200,1961-12-21,
nm0628827,Richard Ng,,1939-12-17,
nm0629075,Quang Dung Nguyen,,,
nm0629170,Fanny Fen-Ni,,,
nm0629199,Magaye Niang,,,
nm0629212,Michael Niavarani,,1968-04-29,
nm0629243,Fred Niblo,200,1874-01-06,
nm0629309,Maurizio Nichetti,,1948-05-08,
nm0629334,McG,200,1968-08-09,
nm0629351,Angela Nicholas,,,
nm0629490,Matthew Nicholls,,,
nm0629493,Paul Nicholls,200,1979-04-12,
nm0629653,Marisol Nichols,200,1973-11-02,
nm0629697,Rachel Nichols,200,1980-01-08,
nm0630100,Julia Nickson,200,1958-09-11,
nm0630907,Lilla Nielsen,,,
nm0631273,Gustavo Nieto Roa,,1942-04-03,
nm0631307,José Nieto,,1903-05-03,
nm0631413,Anjul Nigam,,1965-12-15,
nm0631490,Bill Nighy,200,1949-12-12,
nm0631590,Johan Nijenhuis,,1968-03-04,
nm0631761,Jan Niklas,,1947-10-15,
nm0631872,Bozidar  Bota  Nikolic,,1942-01-01,
nm0632093,Eli Nilsen,,,
nm0632225,Helena Nilsson,,,
nm0632656,Naomi Nishida,200,1972-02-16,
nm0632664,Toshiyuki Nishida,,1947-11-04,
nm0632808,Hiroshi Nishitani,,,
nm0633947,Ulrich Noethen,200,1959-11-18,
nm0633989,Yukana Nogami,,1975-01-06,
nm0634159,Philippe Noiret,200,1930-10-01,
nm0634272,Frederick Nolan,,,
nm0634322,Mary Nolan,200,1902-12-18,
nm0634831,Rosyam Nor,,1967-03-01,
nm0634897,Khyentse Norbu,,,
nm0634962,Marita Nordberg,200,1929-02-15,
nm0635145,Solveig Nordlund,,1943-06-09,
nm0635189,Margit Nordqvist,,,
nm0635274,Matt Norero,,1974-12-05,
nm0635718,Keisuke Noro,,,
nm0635775,Charles G. Norris,,1881-04-23,
nm0635954,Maritha Norstedt,,1963-11-27,
nm0635974,Vítor Norte,,1951-01-29,
nm0636020,Jay North,200,1951-08-03,
nm0636161,Barry Norton,200,1905-06-16,
nm0636426,Noomi Rapace,200,1979-12-28,
nm0636441,Alighiero Noschese,200,1932-11-25,
nm0636562,Chris Noth,200,1954-11-13,
nm0636729,Heikki Nousiainen,200,1945-06-19,
nm0636741,Giorgos Nousias,,,
nm0636868,John Novak,200,1955-09-09,
nm0636874,Karel Novak,,1930-10-09,
nm0636929,Vlado Novák,,1952-04-09,
nm0636942,Bojana Novakovic,200,1981-11-17,
nm0636991,Tamar Novas,,1986-10-03,
nm0636999,Nik Novecento,,1964-02-19,
nm0637149,Viktoriya Novikova,,,
nm0637380,Reinhard Nowak,200,1964-04-28,
nm0637507,Wilfred Noy,,1883-12-24,
nm0637586,Masako Nozawa,200,1936-10-25,
nm0637864,Nukâka,,1971-02-23,
nm0637992,Paulino Nunes,,1968-04-27,
nm0638042,Geula Nuni,,1942-09-06,
nm0638056,Bill Nunn,200,1953-10-20,
nm0638067,Larry Nunn,,1925-08-23,
nm0638080,Trevor Nunn,,1940-01-14,
nm0638112,Massimo Nunzi,,,
nm0638206,Niina Nurminen,,1965-08-02,
nm0638364,Tarah Nutter,,1954-09-28,
nm0638434,Juraj Nvota,,1954-03-01,
nm0638593,Will Nye,,1953-09-01,
nm0638824,Michael Nyqvist,200,1960-11-08,
nm0638910,Lene Nystrøm,200,1973-10-02,
nm0639054,François Négret,,1966-10-15,
nm0639128,Henrik Noël Olesen,,1968-02-05,
nm0639575,Gray O Brien,200,1968-08-11,
nm0639774,Peter O Brien,200,1960-03-25,
nm0639782,Richard O Brien,200,1942-03-25,
nm0639804,Seamus O Brien,200,1932-06-14,
nm0639917,Sean O Bryan,200,1963-09-10,
nm0640023,Arthur O Connell,200,1908-03-29,
nm0640055,Deirdre O Connell,,1951,
nm0640323,Frances O Connor,200,1967-06-12,
nm0640740,Damien O Donnell,,1967,
nm0641000,Macdara Ó Fátharta,,,
nm0641097,Gail O Grady,200,1963-01-23,
nm0641245,David O Hara,200,,
nm0641300,Mario O Hara,,1946-04-20,
nm0641400,Michael O Herlihy,,1928-04-01,
nm0641417,John O Hurley,200,1954-10-09,
nm0641437,Peg O Keef,,,
nm0641713,Daragh O Malley,200,1954-05-25,
nm0641853,Pat O Meara,,,
nm0642041,Morgan O Neill,,1973-04-19,
nm0642050,Patrick O Neil,,,
nm0642063,Sally O Neil,200,1908-10-23,
nm0642259,Michael O Neill,200,,
nm0642338,Willa O Neill,,,
nm0642368,Terry O Quinn,200,1952-07-15,
nm0642374,Geraldine O Rawe,,1971-03-04,
nm0642731,Billy O Sullivan,200,1980-12-19,
nm0643211,Philip Ober,200,1902-03-23,
nm0643422,Michael Oblowitz,,,
nm0643495,Lyudmila Obrazumova,,,
nm0643539,Jeffrey Obrow,,,
nm0643664,Michel Ocelot,200,1943-10-27,
nm0643804,Jimi Blue Ochsenknecht,200,1991-12-27,
nm0643832,Dragan Ocokoljic,,1927-02-03,
nm0644023,Christophe Odent,,,
nm0644054,Mary Odette,,1901-08-10,
nm0644204,Lin Oeding,200,1977-08-09,
nm0644309,Paula van der Oest,,1965,
nm0644496,Ganna Oganisyan-Slutski,,1949-11-02,
nm0644523,Ken Ogata,200,1937-07-20,
nm0644680,Bulle Ogier,200,1939-08-09,
nm0644728,Charles Ogle,200,,
nm0644897,Sandra Oh,200,1971-07-20,
nm0644902,Soon-Tek Oh,200,1932-06-29,
nm0644905,Tae-kyung Oh,,1982-12-16,
nm0644971,Kôichi Ôhata,,1962-07-26,
nm0645402,Eiji Okada,,1920-06-13,
nm0645411,Jun ichi Okada,200,1980-11-18,
nm0645438,Tokihiko Okada,,1903-02-18,
nm0646037,Daniel Olbrychski,200,1945-02-27,
nm0646172,Lilian Oldland,,1903-02-07,
nm0646179,Enrico Oldoini,,1946-05-04,
nm0646267,Brigid Olen,,,
nm0646351,Larisa Oleynik,200,1981-06-07,
nm0646391,Jorge Olguín,,,
nm0646485,Joseph Olita,,1944-03-31,
nm0646568,Karla Souza,200,1986,
nm0646792,Christian Oliver,200,1972-03-03,
nm0647216,Débora Olivieri,,1958-01-17,
nm0647378,Paul Ollivier,,1876-02-10,
nm0647434,Boy Olmi,,1955-12-18,
nm0647868,Byron Olson,,,
nm0648080,John Olsson,,1942-05-11,
nm0648249,Timothy Olyphant,200,1968-05-20,
nm0648294,Timothy Oman,200,,
nm0648409,Toshinori Omi,200,1965-12-07,
nm0648473,Akin Omotoso,,1974,
nm0648486,Timothy Omundson,200,1969-07-29,
nm0648499,Andy On,200,1977-05-11,
nm0648618,Juan Carlos Onetti,,1909-07-01,
nm0648619,Elvira Onetto,,,
nm0648743,Matti Onnismaa,200,1959-10-21,
nm0648902,Fabien Onteniente,,1958-04-27,
nm0648975,Amanda Ooms,,1964-09-05,
nm0649181,Evan Oppenheimer,,,
nm0649305,Lale Oraloglu,,1924-08-15,
nm0649405,Ergin Orbey,,1936-08-14,
nm0649786,Katie Orgill,,,
nm0649849,Ai Orikasa,200,1963-12-12,
nm0649864,Regina Orioli,,1977-05-15,
nm0649885,Pilar Orive,,,
nm0649907,Ruth Orkin,,1921-09-03,
nm0650259,Ron Ormond,,1910-08-29,
nm0650433,Szonja Oroszlán,,1977-05-19,
nm0650541,Corinne Orr,,1936-01-06,
nm0650685,Frank Orsatti,200,1942-02-26,
nm0650753,Umberto Orsini,200,1934-04-02,
nm0650945,Roxana Ortega,,1973-08-11,
nm0650997,Jacques Orth,,,
nm0651067,Ana Ortiz,200,1971-01-25,
nm0651441,Meghan Ory,200,1982-08-20,
nm0651544,Alan Osbiston,,1914-05-07,
nm0651692,Kent Osborne,,1969-08-30,
nm0651807,Per Oscarsson,200,1927-01-28,
nm0651915,Nagisa Ôshima,,1932-03-31,
nm0651922,Mel Oshins,,,
nm0652148,Irina Osnovina,,1965-02-17,
nm0652283,Rodrigo Ostap,,,
nm0652338,Donna Osterbuhr,,1957-08-25,
nm0652443,Arsen A. Ostojic,,1965-07-29,
nm0652673,Leonid Osyka,,1940-03-08,
nm0652691,Kôji Ohta,,,
nm0652718,Shinobu Ôtake,200,1957-07-17,
nm0653071,Bob Papenbrook,200,1955-09-18,
nm0653200,Ulrike Ottinger,,1942-06-06,
nm0653420,Mieko Ouchi,,,
nm0653443,Pierre Oudrey,,,
nm0653451,Boucare Ouedraogo,,,
nm0653669,Kati Outinen,200,1961-08-17,
nm0653715,Chung Ouyang,,,
nm0653913,Martijn Oversteegen,,,
nm0654110,Clive Owen,200,1964-10-03,
nm0654765,Selçuk Özer,,1954,
nm0654830,François Ozon,200,1967-11-15,
nm0654842,Alejandro Ozores,,,
nm0654950,Raija Paalanen,,1930-10-02,
nm0654976,Frederick Paasche,,,
nm0655013,Heikki Paavilainen,,1962-05-12,
nm0655385,Alessandro Paci,,1964-12-21,
nm0655490,Joy Packer,,1905-02-11,
nm0655499,Peter Packer,,1906-01-22,
nm0655684,Maria Padilha,,1959-05-08,
nm0655686,Paulo Padilha,,1928,
nm0655805,Kutty Padmini,,,
nm0655859,Ana Padrão,200,1967-07-04,
nm0655937,Fernanda Paes Leme,200,1983-06-04,
nm0655943,Dira Paes,200,1969-06-30,
nm0656303,Patti Page,200,1927-11-08,
nm0656395,Justin Pagel,,1972-05-14,
nm0656584,Luc Pagès,,,
nm0656704,Elaine Paige,200,1948-03-05,
nm0656889,Melissa Painter,,,
nm0657139,Romi Pak,200,1972-01-22,
nm0657241,Germán Palacios,,1963-05-30,
nm0657280,Silverio Palacios,200,,
nm0657309,Roberta Paladini,,1955-11-05,
nm0657372,Mark Palansky,,,
nm0657558,J.C. Palermo,,,
nm0657759,Adamo Palladino,200,1969-01-26,
nm0657760,Aleksa Palladino,200,1980-09-21,
nm0657848,Anita Pallenberg,200,1942-04-06,
nm0657874,Eugene Pallette,200,1889-07-08,
nm0657890,Byron Pallis,,1923,
nm0657922,Claudio Pallottini,,,
nm0658041,Rossy de Palma,200,1964-09-16,
nm0658073,Ulf Palme,,1920-10-18,
nm0658077,Marcos Palmeira,200,1963-08-19,
nm0658244,Geoffrey Palmer,200,1927-06-04,
nm0658943,Jajang C. Noer,,1952-06-28,
nm0658988,Orhan Pamuk,,1952-06-07,
nm0659023,Pan Nalin,,,
nm0659044,Yi Pan-Yong,,,
nm0659097,Alessandra Panaro,200,1939-12-14,
nm0659101,Hugh Panaro,200,1964-02-19,
nm0659128,Anna Panagiotopoulou,,1947-07-30,
nm0659156,Aditya Pancholi,200,1965-01-04,
nm0659363,Hayden Panettiere,200,1989-08-21,
nm0659373,Adrian Pang,,1966,
nm0659375,Bennett Pang,,,
nm0659383,Edwin Pang,,,
nm0659461,Corrado Pani,200,1936-03-04,
nm0659521,Andrey Panin,,1962-05-28,
nm0659601,John Pankow,,1955-02-18,
nm0660005,Marco Paoletti,,1949,
nm0660031,Vanna Paoli,,,
nm0660151,Giorgios Papadakis,,,
nm0660236,Natalia Papaioannou,,,
nm0660266,Rocco Papaleo,,1958-08-16,
nm0660285,Hristina Papamihou,200,,
nm0660444,Anna Maria Papi,,,
nm0660479,Dany Papineau,200,1974-07-15,
nm0660559,Markella Pappa,,,
nm0660707,Gilles Paquet-Brenner,,,
nm0660854,Vanessa Paradis,200,1972-12-22,
nm0660886,Sergei Parajanov,,1924-01-09,
nm0660978,Parviz Parastui,,1955-04-25,
nm0661611,Raina Paris,,,
nm0661825,Grace Park,200,1974-03-14,
nm0661845,In-hwan Park,,1945-01-06,
nm0661919,Woo-sang Park,,1943-01-02,
nm0662018,Ray Parker Jr.,200,1954-05-01,
nm0662059,Austin Parker,,1892-09-10,
nm0662118,Cecilia Parker,200,1914-04-26,
nm0662355,Jim Parker,,,
nm0662504,Molly Parker,200,1972-06-30,
nm0662505,Monica Parker,,,
nm0662529,Oliver Parker,,1960-09-06,
nm0662630,Carol Stanzione,,,
nm0662820,Andrew Parkinson,,1959-08-31,
nm0662956,Hugh Parks,,,
nm0663024,Trina Parks,200,1947-12-26,
nm0663237,Aldo Parodi,,,
nm0663244,Max Parodi,200,1967-09-22,
nm0663366,Andrés Parra,,,
nm0663401,Mark Parra,,,
nm0663409,Pim de la Parra,,1940-01-04,
nm0663546,Janel Parrish,200,1988-10-30,
nm0663613,James Parrott,200,1897-08-02,
nm0663624,Ursula Parrott,,1900-03-26,
nm0663820,Estelle Parsons,200,1927-11-20,
nm0664104,Parvathi,,,
nm0664175,Jessica Paré,200,1980-12-05,
nm0664317,Tino Pascali,,1928-02-21,
nm0664469,Piolo Pascual,,1977-01-12,
nm0664582,Wladyslaw Pasikowski,200,1959-06-14,
nm0664635,Stivi Paskoski,,,
nm0664666,Susanna Pasolini,,1891-03-10,
nm0664671,Giorgio Pasotti,,1973-06-22,
nm0665114,Vincent Pastore,200,1946-07-14,
nm0665188,Jonny Pasvolsky,200,1972-07-26,
nm0665327,Michael Pate,200,1920-02-26,
nm0665349,Ameesha Patel,200,1975-06-09,
nm0665555,Vinay Pathak,,1968-07-12,
nm0665599,Smita Patil,200,1955-10-17,
nm0665842,Dorothy Patrick,,1921-06-03,
nm0665902,Nigel Patrick,200,1912-05-02,
nm0665981,Stefano Patrizi,,1950-10-12,
nm0666121,J.G. Patterson Jr.,,1930-01-11,
nm0666178,David J. Patterson,,,
nm0666739,Aaron Paul,200,1979-08-27,
nm0666788,Christiane Paul,200,1974-03-08,
nm0666870,Jane Paul-Gets,,,
nm0666871,Jarrad Paul,,1976-06-20,
nm0666945,Patricia Paul,,,
nm0667074,Allan Paule,,,
nm0667326,Rob Paulsen,200,1956-03-11,
nm0667350,Jay Paulson,,1978-05-29,
nm0667515,Jan Pauwels,,1945-08-22,
nm0667664,Bruno Paviot,,,
nm0667714,Frantisek Pavlícek,,1923-11-20,
nm0667725,Carlos Pavlidis,,,
nm0668094,Jill Pixley,,,
nm0668166,Diana Payan,,1943,
nm0668247,Alexander Payne,200,1961-02-10,
nm0668285,Christopher Payne,,,
nm0668749,Jane Peachey,,,
nm0669069,Jack Pearl,,1894-10-29,
nm0669225,Corey Pearson,200,1974-08-30,
nm0669588,Lyudmila Pechieva,,,
nm0669631,Brian Peck,,1960-07-29,
nm0669656,Ethan Peck,200,1986-03-02,
nm0669681,Josh Peck,200,1986-11-10,
nm0669941,Peder Thomas Pedersen,200,,
nm0670116,Olga Pedrini,,,
nm0670444,Eila Pehkonen,,1924-10-18,
nm0670481,Pai Wei,,1957,
nm0670780,Courtney Peldon,200,1981-04-13,
nm0671567,Michael Peña,200,1976-01-13,
nm0671721,Austin Pendleton,,1940-03-27,
nm0671767,Kelly Pendygraft,,1977-10-24,
nm0671855,Bruce Penhall,200,1957-05-10,
nm0671992,Matthew Penn,,,
nm0672032,Daniel Pennac,,1944,
nm0672077,Nicholas Pennell,,1938-11-19,
nm0672430,Alena Penz,,1949-08-16,
nm0672704,Nicos Perakis,,1944-09-11,
nm0672857,Nicolás D. Perchicot,,1884-09-19,
nm0673068,Anthony Pereira,,,
nm0673094,Christian Pereira,,,
nm0673097,Cristina Pereira,,1949-08-09,
nm0673224,Tonico Pereira,,1948-06-22,
nm0673251,Solomon Perel,,1925-04-21,
nm0673391,Diego Peretti,200,1963-02-25,
nm0673563,Manny Perez,,1969-05-05,
nm0673755,Sumitra Peries,,1934-03-24,
nm0673830,Zoran Perisic,,1940-03-16,
nm0673989,Kent Perkins,,,
nm0674646,Paul Perri,,1953-11-06,
nm0674702,Olivier Perrier,,1940-09-15,
nm0674735,Francis Perrin,,1947-10-10,
nm0674782,Harold Perrineau,200,1963-08-07,
nm0674786,Joe Perrino,,1982,
nm0675068,Frank Perry,,1930-08-21,
nm0675114,Jeff Perry,,1955-08-16,
nm0675390,Tomás Perrín,,1914-01-04,
nm0675447,Pascal Persiano,,1960-11-09,
nm0675551,Thomas Persse,,,
nm0675730,Sean Pertwee,200,1964-06-04,
nm0675751,Jorge Perugorría,,1965-08-13,
nm0675887,Frank Pesce,,,
nm0675919,Milan Peschel,200,1968,
nm0676194,Pirkka-Pekka Petelius,200,1953-05-31,
nm0676336,Barbara Peeters,,,
nm0676577,Maria Peters,,1958,
nm0676789,Colin Petersen,,1946-03-24,
nm0677139,Eric Peterson,,1946-10-02,
nm0677305,Martha Peterson,,,
nm0677672,Elif Pektas,,1946,
nm0677953,Donald Petrie,200,1954-04-02,
nm0678086,Stasis Petronaitis,,1932-08-18,
nm0678101,Giulio Petroni,,1917-09-21,
nm0678203,Vladimir Petrov,,1896-07-22,
nm0678261,Dragan Petrovic-Pele,,1961-12-17,
nm0678347,Tanja Petrovsky,,1978,
nm0678472,Ann Petrén,,1954-05-25,
nm0678931,David Pevsner,200,1958-12-31,
nm0678955,Nikolaj Peyk,,1966-07-22,
nm0678963,Peyo,,1928-06-25,
nm0678981,Roger Peyrefitte,200,1907-08-17,
nm0678993,François Peyrony,,1964,
nm0679199,Julia Peña,,,
nm0679366,Anniek Pheifer,,1977-10-16,
nm0679404,Bryan Pfeiffer,,,
nm0679651,Peng Phan,,,
nm0679904,John Philbin,,1960-04-27,
nm0679907,Mary Philbin,200,1902-07-16,
nm0679957,Mikhail Filipchuk,,1988-09-18,
nm0680273,Bruce Phillips,,1951-09-13,
nm0680710,Phil Phillips,,,
nm0680780,Scott Phillips,,1963-12-28,
nm0680927,Philomina,,1925,
nm0680983,Ellen Page,200,1987-02-21,
nm0681247,Rex Piano,,,
nm0681566,Michel Piccoli,200,1925-12-27,
nm0681635,Irving Pichel,200,1891-06-24,
nm0681718,Debbi Pick,,,
nm0681882,Cindy Pickett,200,1947-04-18,
nm0681893,Jay Pickett,,1961-02-10,
nm0682074,Walter Pidgeon,200,1897-09-23,
nm0682272,Chuck Pierce Jr.,,1962-02-01,
nm0682302,Brock Pierce,,1980-11-14,
nm0682495,Wendell Pierce,200,1963-12-08,
nm0683099,Albert Pigot,,,
nm0683114,Tempe Pigott,,1884-02-02,
nm0683116,Tim Pigott-Smith,200,1946-05-13,
nm0683119,Luciano Pigozzi,,1927-01-10,
nm0683165,Tapio Piirainen,,1954,
nm0683253,Rosamund Pike,200,1979-01-27,
nm0683334,Joseph Pilato,200,1949-03-16,
nm0683501,Patricia Pillar,200,1964-01-11,
nm0683747,Afonso Pimentel,200,1982-08-04,
nm0683857,Pierre Pinaud,,,
nm0683950,Csaba Pindroch,200,1972-03-19,
nm0684001,Patrick Pineau,,1961,
nm0684177,Magali Pinglaut,,1972-02-02,
nm0684335,Sidney W. Pink,,1916-03-06,
nm0684877,Billie Piper,200,1982-09-22,
nm0684942,Trish Piper,,,
nm0684951,Daniela Piperno,,1951-09-24,
nm0685216,David Pirner,,1964-04-16,
nm0685235,Kirill Pirogov,,1973-09-04,
nm0685333,Tayfun Pirselimoglu,,,
nm0685557,Flavio Pistilli,,1979-03-16,
nm0685694,Wensley Pithey,,1914-01-20,
nm0685789,Glen Pitre,,1955-11-10,
nm0685791,Martin Pitre,,,
nm0685964,Tom Pittman,,1932-03-16,
nm0686303,Gloria Piñeyro,,,
nm0686304,Marcelo Piñeyro,,1953,
nm0686376,Violante Placido,200,1976-05-01,
nm0686551,Verena Plangger,200,1952-06-27,
nm0686836,Vsevolod Platov,,1929-07-05,
nm0686883,Louise Platt,,1915-08-03,
nm0687031,Wellington A. Playter,,1879-12-09,
nm0687081,Angela Pleasence,200,1941-09-30,
nm0687384,Allen Plone,,,
nm0687443,Jack Plotnick,200,1968-10-30,
nm0687572,Elizabeth Plumb,,,
nm0687602,Wolfgang Plumhoff,,,
nm0687692,Marcella Plunkett,,,
nm0687739,Bill Plympton,200,1946-04-30,
nm0687914,Denis Podalydès,,1963-04-22,
nm0687958,Rossana Podestà,200,1934-08-20,
nm0688008,Louiza Podimata,,,
nm0688132,Amy Poehler,200,1971-09-16,
nm0688143,Benoît Poelvoorde,200,1964-09-22,
nm0688495,Kim Poirier,200,1980-02-06,
nm0688544,Manuel Poirier,,1954-11-17,
nm0689057,Maurice Poli,,1933-12-02,
nm0689089,Dora Polic,,1971-08-30,
nm0689185,Mark Polish,,1970-10-30,
nm0689189,Lyubov Polishchuk,200,1949-05-21,
nm0689424,Cheryl Pollak,200,1967-08-31,
nm0689425,Heinz Pollak,,1913-05-30,
nm0689507,Thomas M. Pollard,,1950-10-28,
nm0689554,Jean-Daniel Pollet,,1936-06-20,
nm0689685,Mike Pollock,200,1965-03-09,
nm0689773,Barbara Polomska,,1934-01-09,
nm0690319,Alice de Poncheville,,1969-05-03,
nm0690524,Ramón Pons,,1940-10-13,
nm0690597,Gillo Pontecorvo,,1919-11-19,
nm0690642,Edoardo Ponti,,1973-01-06,
nm0690761,Cochi Ponzoni,,1941-03-11,
nm0690770,DJ Pooh,200,,
nm0690952,Man Kit Poon,,,
nm0690972,Ahmed Ahmed Poor,,,
nm0690974,Babek Ahmed Poor,,,
nm0691061,Jim Wynorski,,1950-08-14,
nm0691201,Popeck,,1936-05-18,
nm0691204,Mary Ellen Popel,,1920-06-20,
nm0691324,Andrei Popov,200,1918-04-12,
nm0691355,Trajce Popov,,1923-07-15,
nm0691396,Elena Popova,,1956-04-17,
nm0691419,Gorica Popovic,,1952-08-13,
nm0691937,Carlos Portaluppi,,,
nm0691960,Régis Porte,,1953-02-04,
nm0692036,Ben Porter,,1968,
nm0692048,Brett Porter,,1956-12-31,
nm0692159,Jeffrey Porter,,,
nm0692432,David Portlock,,,
nm0692439,Eric Portman,,1901-07-13,
nm0692613,Favio Posca,,1966-12-22,
nm0693140,Ladislav Potmesil,,1945-09-02,
nm0693383,Lisa Maria Potthoff,97,1978-07-25,
nm0693493,Josep Maria Pou,97,1944,
nm0693531,Ely Pouget,97,1960-08-30,
nm0693611,Dimitris Poulikakos,,1942-03-17,
nm0693933,Dan Povenmire,97,1963-09-18,
nm0694100,Drew Powell,97,1976-01-19,
nm0694336,Tim Powell,97,1956-06-16,
nm0694405,Ian Power,,1976-01-22,
nm0694735,Ali Poyrazoglu,,1946-07-09,
nm0694893,Prabhu,97,,
nm0694989,Perrette Pradier,,1938-04-17,
nm0695124,Daniella Prah,,,
nm0695127,Axel Prahl,97,1960-03-26,
nm0695162,J. Om Prakash,,1927-01-24,
nm0695170,Om Prakash,,1919-12-19,
nm0695177,Prakash Raj,97,1965-03-26,
nm0695435,Chris Pratt,97,1979-06-21,
nm0695604,Ivan Pravov,,1899-11-04,
nm0695623,Patrice-Flora Praxo,,,
nm0695835,Kinga Preis,97,1971-08-31,
nm0695863,June Preisser,,1920-06-26,
nm0695952,Tony Prendatt,,,
nm0695977,Jose Prendes,97,1979-04-26,
nm0695978,Luis Prendes,,1913-08-22,
nm0696161,Graham Preskett,,,
nm0696216,Fiona Press,,,
nm0696353,Jo Prestia,97,1960-06-05,
nm0696463,Michael Preston,97,1938-05-14,
nm0696546,Wayne Pretlow,,,
nm0696575,Jeff Prettyman,,,
nm0696612,Ruben Preuss,,,
nm0696703,Hermann Prey,,1929-07-11,
nm0696725,Alessandro Preziosi,97,1973-04-19,
nm0696761,Alma Prica,,1962-09-17,
nm0697195,Will Price,,1913-10-27,
nm0697280,Rod Pridy,,,
nm0697510,Monique Prim,,,
nm0697622,Robert Prince,,1929-05-10,
nm0697656,Gina Prince-Bythewood,,1969-06-10,
nm0697935,David A. Prior,,1955-10-05,
nm0698116,Prithvi,,,
nm0698119,Greg Pritikin,,,
nm0698378,Elaine Proctor,,1960,
nm0698493,Pat Proft,97,1947-03-04,
nm0698507,Tim Progosh,,,
nm0698541,Gigi Proietti,97,1940-11-02,
nm0698681,Greg Proops,97,1959-10-03,
nm0698707,Renee Props,97,1962-02-15,
nm0698832,François Protat,,1945,
nm0698839,Yakov Protazanov,,1881-02-04,
nm0698998,David Proval,97,1942-05-20,
nm0699037,Paul Provenza,97,1957-07-31,
nm0699120,Juliet Prowse,97,1936-09-25,
nm0699425,Nicholas Pryor,97,1935-01-28,
